 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
206,179.842,0.000,678.030,145.971,49.781,16.571,13.818,84.608,0.912,16.807,0.000,1475,336,72.553,13.285,1.199,0.834,0.971
207,429.354,0.000,689.418,149.853,78.489,26.479,20.646,136.714,0.876,27.333,0.000,1482,307,140.440,20.641,1.283,0.780,0.962
208,206.493,0.000,820.219,146.439,53.399,16.349,16.081,169.255,0.910,17.287,0.000,1774,329,32.005,16.033,1.017,0.984,0.965
209,168.930,0.000,91.829,147.054,48.393,15.525,13.854,137.605,0.906,15.882,0.000,192,305,123.232,13.929,1.121,0.892,0.958
210,258.746,0.000,144.279,147.667,60.637,19.203,17.156,155.064,0.884,20.010,0.000,295,313,164.055,17.492,1.119,0.893,0.962
211,414.035,5.170,524.497,151.382,77.887,26.048,20.238,100.843,0.858,26.478,2.027,1129,306,120.114,20.961,1.287,0.777,0.955
212,210.900,0.507,288.884,149.163,55.075,18.069,14.861,78.779,0.874,18.444,0.199,628,305,104.381,15.117,1.216,0.822,0.963
213,177.534,0.301,324.766,148.203,50.003,17.013,13.287,89.137,0.892,17.444,0.118,706,305,103.671,13.285,1.280,0.781,0.960
214,311.418,5.327,273.419,151.671,67.272,22.968,17.264,105.446,0.865,23.555,2.089,592,306,103.496,17.618,1.330,0.752,0.960
215,257.696,0.000,163.053,149.722,60.637,18.503,17.733,21.962,0.881,19.332,0.000,335,321,166.293,18.376,1.043,0.958,0.955
216,246.365,0.000,224.164,150.028,59.656,18.570,16.892,166.046,0.870,19.570,0.000,470,322,159.444,17.397,1.099,0.910,0.954
217,271.337,0.197,359.108,150.730,61.331,19.303,17.897,150.231,0.906,19.973,0.077,772,312,126.607,18.211,1.079,0.927,0.967
218,180.262,0.000,596.967,148.736,49.355,15.860,14.472,167.920,0.930,16.370,0.000,1286,320,162.072,14.201,1.096,0.912,0.970
219,329.675,0.000,847.817,151.410,67.966,22.276,18.843,152.679,0.897,22.873,0.000,1830,317,147.265,19.248,1.182,0.846,0.969
220,244.056,0.000,656.015,150.457,57.934,19.067,16.297,25.749,0.914,19.735,0.000,1411,334,21.801,16.594,1.170,0.855,0.970
